Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Mass,Description,COVID_POS_1,COVID_POS_2,COVID_POS_3,COVID_POS_4,COVID_POS_5,COVID_POS_6,COVID_POS_7,COVID_POS_8,COVID_POS_9,COVID_POS_10,COVID_POS_11,COVID_POS_12,COVID_POS_13,COVID_POS_14,COVID_POS_15,COVID_NEG_1,COVID_NEG_2,COVID_NEG_3,COVID_NEG_4,COVID_NEG_5,COVID_NEG_6,COVID_NEG_7,COVID_NEG_8,COVID_NEG_9,COVID_NEG_10,COVID_NEG_11,COVID_NEG_12,COVID_NEG_13,COVID_NEG_14,COVID_NEG_15,COVID_POS_1,COVID_POS_2,COVID_POS_3,COVID_POS_4,COVID_POS_5,COVID_POS_6,COVID_POS_7,COVID_POS_8,COVID_POS_9,COVID_POS_10,COVID_POS_11,COVID_POS_12,COVID_POS_13,COVID_POS_14,COVID_POS_15,COVID_NEG_1,COVID_NEG_2,COVID_NEG_3,COVID_NEG_4,COVID_NEG_5,COVID_NEG_6,COVID_NEG_7,COVID_NEG_8,COVID_NEG_9,COVID_NEG_10,COVID_NEG_11,COVID_NEG_12,COVID_NEG_13,COVID_NEG_14,COVID_NEG_15,t.test,Rank,BHpVal
P23528;Q9Y281,10,9,66.3955,0.001554554,0.019948296,1.315546101,0.922612196,SARS-CoV-2 Negative,SARS-CoV-2 Positive ,18730.6344,COF1_HUMAN Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,2685.062477,2855.905159,3112.705912,2283.668148,3470.833831,1686.165776,2671.708239,2440.721732,1626.67295,2746.458667,3487.364979,3808.177448,2788.143869,2900.660868,1862.600157,4834.981272,4661.890644,4022.868965,3961.792102,3330.223642,3729.531833,3747.028065,3552.804821,2393.852515,3035.052588,3225.365693,3356.982291,2902.125582,3625.920096,2802.965047,3.428954395,3.455743781,3.493138091,3.358632994,3.540433822,3.22690027,3.42678903,3.387518268,3.211300245,3.438773067,3.542497402,3.580717177,3.44531518,3.462496956,3.270119635,3.684394796,3.668562082,3.604535887,3.597891682,3.5224734,3.571654318,3.573686946,3.550571349,3.37909739,3.48216622,3.508578962,3.52594905,3.462716202,3.559418229,3.447617682,0.00169609,11,0.025441356
P01834,13,5,116.5129,0.001567764,0.019948296,1.804189982,0.922156725,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,11936.1291,IGKC_HUMAN Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2,29234.27477,18017.02444,16833.90764,22552.85403,34459.5231,30108.41263,14844.6831,21589.2079,10314.41391,24972.99621,15289.10079,13539.6436,7963.487431,5962.595387,13928.68612,14132.60085,10728.20274,11450.13739,13497.10643,14281.8656,9491.662242,13669.32232,10217.93396,7088.525605,8696.919659,4711.212512,9694.433415,8079.234961,9547.459365,9691.968268,4.465892325,4.255683068,4.22618494,4.353201509,4.537309263,4.478687859,4.171570931,4.334236708,4.013444555,4.397470651,4.184381944,4.131607233,3.901103299,3.77543534,4.143910152,4.150222093,4.030526972,4.058810698,4.130240673,4.154784942,3.977342276,4.135746984,4.009363091,3.850555912,3.939365458,3.673132695,3.986522432,3.907370238,3.979887819,3.986411984,0.001939014,12,0.026661438
P62258,5,5,29.8094,0.002018593,0.021683605,1.288565969,0.907531695,SARS-CoV-2 Negative,SARS-CoV-2 Positive ,29345.0493,1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,901.9119629,1084.955612,958.2389091,1026.460297,801.539974,1040.859836,1257.55,862.6050216,505.2672663,802.1513523,1254.017445,939.9412589,1049.427225,831.5375565,716.3649256,1214.375324,1258.300685,1309.388492,1592.71207,1138.354312,1637.199144,1440.124787,1206.882571,933.4517579,1283.465373,954.4647078,1145.201519,861.1653495,1061.00327,1046.136074,2.955164147,3.035411971,2.981473801,3.011342156,2.903925186,3.01739225,3.099525261,2.935811982,2.703521163,2.90425632,3.098303578,2.973100713,3.020952327,2.919881869,2.855134314,3.084352934,3.099784433,3.11706852,3.202137271,3.056277457,3.214101509,3.158400125,3.081665015,2.970091878,3.108384156,2.979759875,3.058881916,2.935086547,3.025716723,3.019588178,0.002096544,13,0.026609981
P01861,18,7,148.8652,0.002097409,0.021683605,1.130292138,0.905137173,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,36453.8384,IGHG4_HUMAN Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1,1621.014902,1528.202899,1503.388785,1781.54783,1651.291203,1944.950471,1527.266827,1603.510705,1632.719355,2070.384763,1498.807259,1672.008266,1524.962794,1435.572149,1494.434926,1072.642141,1499.696509,1447.662866,1531.968061,1568.903973,1498.760316,1550.947444,1525.163579,1419.103527,1514.279377,1354.628051,1483.511579,1420.451805,1417.859062,1361.442393,3.209787007,3.184181019,3.177071306,3.250797487,3.217823667,3.288908546,3.183914919,3.205071864,3.212911541,3.316051063,3.175745788,3.22323842,3.183259248,3.157025024,3.174477009,3.030454855,3.17600338,3.160667434,3.185249711,3.195596363,3.175732185,3.190597081,3.183316426,3.152014079,3.180206008,3.131820065,3.17129094,3.152426503,3.151633063,3.13399927,0.002115315,14,0.024930498
P00450,4,4,27.5366,0.001966019,0.021683605,5.063808853,0.909153532,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,123060.7982,CERU_HUMAN Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1,77.10877565,16.4643998,1.470148585,7.943888366,40.19777637,33.90590708,50.09603036,6.731637106,10.47054883,242.1178209,23.33981266,7.135209231,18.84997359,9.894798232,27.75247616,7.476133887,2.496694449,0.410120405,6.389980691,4.422383613,1.777816774,6.396476558,5.300973744,6.700589077,38.10517907,1.420486233,14.58408924,4.716512229,7.874798695,5.178328221,1.887103807,1.216545903,0.16736123,0.900033132,1.60420203,1.530275367,1.699803313,0.828120696,1.019969447,2.384026757,1.368097366,0.853406713,1.275310746,0.995406943,1.443301738,0.87367707,0.397365396,-0.387088623,0.805499546,0.645656412,0.249887,0.805940813,0.724355653,0.826112985,1.580984007,0.152437029,1.163879313,0.673620965,0.896239461,0.714189574,0.002286004,15,0.02514604
P62805,8,7,59.2209,0.003785212,0.032953758,2.180447184,0.861732769,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,11367.3627,H4_HUMAN Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2,1051.676019,1086.561551,594.930487,765.0133703,522.7662665,1242.899983,1798.415088,243.6065915,724.1971696,1185.012644,436.2595154,189.6004339,575.099823,237.8138159,361.8760525,774.4179287,143.2123174,320.325539,527.0499345,749.7893813,88.11579738,533.9322925,436.4888223,370.5092927,159.5933692,97.18363125,74.38834752,286.9161725,204.2299688,285.8974861,3.021881971,3.036054333,2.774466225,2.883669026,2.718307555,3.094436182,3.254889937,2.386689035,2.859856823,3.073722984,2.639744913,2.277839327,2.759743234,2.376237082,2.558559844,2.888975399,2.155980372,2.505591566,2.721851764,2.874939286,1.945053776,2.727486188,2.639973127,2.568799105,2.203014843,1.987593122,1.871504911,2.457755029,2.310119471,2.456210337,0.003827482,16,0.039470906
P08246,2,2,12.0536,0.00354225,0.032551805,2.906457428,0.867249756,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,29145.4015,ELNE_HUMAN Neutrophil elastase OS=Homo sapiens OX=9606 GN=ELANE PE=1 SV=1,166.9667431,175.778879,86.18467805,102.1013305,43.79627471,61.54427234,147.6189612,25.60170143,56.65257627,435.7024609,34.10571822,43.77916228,50.61213248,26.5115834,24.43464813,40.10233411,26.34942405,13.01351363,14.10790919,55.85363954,34.51556732,46.03720579,54.97396726,53.65953198,35.62129111,23.75326524,17.35219276,43.72776549,28.97602231,21.64596955,2.222629976,2.244966691,1.935430064,2.009031402,1.641437171,1.789187641,2.169142145,1.408268829,1.753219664,2.639190013,1.5328272,1.641267447,1.704254636,1.423435667,1.388006089,1.603169651,1.420771127,1.114394571,1.149462656,1.747051478,1.538015016,1.663108956,1.740157079,1.72964688,1.551709657,1.375723318,1.239354363,1.640757285,1.462038767,1.335377043,0.004220902,17,0.040967582
P01042,4,4,24.1591,0.005311153,0.041834821,1.272641641,0.830855551,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,73040.9754,KNG1_HUMAN Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2,141.5279382,202.9350401,152.4320244,238.5814446,136.9031256,250.872593,160.4371712,154.5687953,125.6071611,257.5526288,184.4440433,141.1052874,166.6425226,173.2320933,152.8472425,93.95543497,144.1558792,158.0786204,180.8140825,138.8805353,154.0539576,149.4271271,169.5435424,108.092578,123.6591139,125.4059951,118.2469173,104.5825307,131.4620935,173.8225928,2.15084218,2.307357042,2.183076217,2.377636664,2.136413363,2.399453219,2.205304996,2.189121822,2.0990144,2.410865987,2.265864634,2.149543288,2.221785831,2.238628353,2.184257608,1.972921907,2.158832359,2.198873137,2.257232252,2.142641382,2.18767286,2.174429447,2.229281253,2.033795875,2.09222613,2.098318299,2.072789827,2.019459147,2.118800544,2.240106224,0.005382268,18,0.049337458
P05164,10,9,67.4144,0.005020855,0.041525615,3.721588723,0.83630018,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,84838.2126,PERM_HUMAN Myeloperoxidase OS=Homo sapiens OX=9606 GN=MPO PE=1 SV=1,201.0075661,190.0795389,107.685466,327.3055358,167.0152396,995.4273375,281.5506668,114.4134523,132.4994697,426.3614094,23.37347143,34.64890667,87.06923196,50.2232028,23.44104725,113.9189153,21.88860981,38.00286599,25.84965881,68.86017695,33.87590517,97.84416366,66.30016447,126.0274995,56.98202413,32.55760846,30.57693288,62.6294455,35.19888626,39.15156817,2.303212405,2.27893537,2.032157092,2.514953351,2.222756101,2.998009564,2.44955656,2.05847709,2.12221414,2.629777889,1.368723219,1.539689535,1.939864714,1.700904405,1.36997701,2.056595841,1.34021818,1.57981635,1.412454815,1.837968134,1.529890908,1.990534925,1.821514606,2.10046532,1.755737872,1.512652496,1.48539392,1.796778567,1.546528922,1.592749162,0.006198859,19,0.0538322
P02538;P04259;P48668;P13647,5,4,31.945,0.005890109,0.04428626,1.750896722,0.820491836,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,60330.1643,K2C6A_HUMAN Keratin_ type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3,91.23999171,108.8216107,104.4976005,149.1189081,60.06619384,290.6677816,82.12158874,72.78631775,66.96306717,140.5586485,63.6041523,39.3625913,68.16616123,70.15580386,36.12206134,68.85226962,39.78553452,60.64702751,56.10273959,77.41320744,43.83771451,71.50411412,58.76469267,58.89127127,51.6643258,43.59976888,41.1756444,40.40241351,49.50164266,62.72209313,1.960185237,2.03671515,2.019106318,2.173532715,1.778630113,2.463396896,1.914457343,1.862049749,1.825835338,2.147857573,1.803485469,1.595083681,1.833568837,1.846063605,1.557772526,1.837918261,1.599725197,1.78280952,1.748984069,1.888815062,1.641847904,1.85433103,1.769116469,1.770050929,1.713190766,1.639484187,1.614640405,1.606407309,1.694619611,1.797420543,0.007780528,20,0.064189359
P01876,17,12,135.2933,0.007275561,0.050057799,2.04386478,0.797935306,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,38510.0827,IGHA1_HUMAN Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2,34414.34759,13745.50248,16538.84258,16648.90874,29104.52131,20664.21804,10170.51942,13215.81452,18362.0696,19755.10215,7056.992054,7789.42106,6431.589842,2051.977506,10856.47259,9886.185352,4476.907008,8195.254716,9887.42311,16758.22104,5438.616509,9034.395532,6648.343666,5050.594959,5607.19144,2553.187042,6805.292437,5958.292017,7928.853425,6740.568917,4.536739541,4.13816062,4.218505113,4.221385773,4.463960461,4.315218976,4.007343133,4.121093935,4.263921629,4.29567928,3.848619628,3.89150518,3.808318341,3.312172596,4.03568874,3.995028749,3.650978074,3.913562456,3.995083119,4.224227914,3.735488437,3.9558991,3.822713461,3.703342541,3.748745384,3.407082632,3.832846792,3.775121784,3.899210389,3.828696553,0.008128151,21,0.063864042
P05787,15,12,103.5161,0.007914416,0.050351672,1.557298344,0.788418637,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,53704.3638,K2C8_HUMAN Keratin_ type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7,2658.032042,2350.268767,2767.328001,6873.779493,2359.957745,4588.103921,2353.679807,3404.351045,2699.71499,4077.474781,1535.030586,2201.09586,1805.881628,1740.114253,1240.612838,1891.616499,1766.286579,1949.136959,1454.839001,2102.028102,1330.438481,1808.571956,1532.746915,3536.889125,1300.253028,1517.014347,1269.976042,2777.337417,1658.838187,1494.684981,3.424560212,3.371117529,3.442060637,3.837195596,3.372904227,3.661633246,3.371747381,3.532034337,3.431317918,3.610391284,3.186117033,3.342638957,3.25668928,3.240577764,3.093636271,3.276833093,3.247061169,3.289842356,3.162814935,3.322638518,3.123994798,3.257335792,3.185470451,3.548621446,3.114027874,3.180989688,3.103795528,3.443628645,3.219804024,3.174549671,0.008652771,22,0.064895782
P0DOX2,15,3,115.0523,0.008404777,0.050928065,1.192017428,0.781434932,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,49846.6552,IGA2_HUMAN Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,6087.194696,4694.103099,5105.276726,5570.944804,5977.266978,7680.600356,4191.78643,4690.591208,4176.575319,4953.914495,4732.535431,4558.345044,4045.937604,3814.37739,4366.598784,4215.629475,5111.805706,4609.699677,5175.996424,4867.266657,4019.568071,4432.714633,3954.023453,3646.751475,3845.931756,3413.090211,3732.375417,3384.773626,4075.029541,4136.952095,3.784417193,3.671552624,3.708019288,3.745928856,3.776502654,3.885395168,3.622399147,3.671227585,3.620820318,3.694948506,3.675093874,3.658807196,3.607019181,3.581423659,3.640143289,3.624862432,3.708574338,3.663672632,3.713993968,3.68728514,3.604179388,3.646669773,3.597039241,3.561906167,3.585001574,3.533147767,3.57198532,3.529529628,3.610130761,3.616680492,0.008838376,23,0.063405738
P03973,11,10,87.4225,0.008620785,0.050928065,1.333031082,0.77844012,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,15238.5637,SLPI_HUMAN Antileukoproteinase OS=Homo sapiens OX=9606 GN=SLPI PE=1 SV=2,6866.600942,4524.450665,6448.913816,5109.398889,11797.49462,6951.791376,4174.085457,6009.659213,4260.271902,5440.06323,6918.612642,6155.04627,3481.402193,7236.156336,5564.484497,6504.308595,4416.801772,4912.602503,5936.28249,6984.877412,4015.493837,4361.837717,4021.034669,4497.665209,3453.297997,3131.060706,3831.042909,3941.560604,4375.034334,3836.387787,3.836741809,3.655565857,3.809486573,3.708369809,4.071789788,3.84209673,3.620561336,3.778849845,3.629437318,3.735603948,3.840019016,3.789231322,3.541754199,3.859507941,3.745424937,3.813201138,3.645107908,3.691311625,3.77351456,3.844158788,3.603738964,3.639669503,3.604337818,3.652987125,3.538234057,3.495691488,3.583317016,3.595668209,3.640981466,3.5839225,0.00892337,24,0.061348166
P09104,3,2,25.6612,0.00753243,0.050057799,2.109120734,0.794048911,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,47610.8108,ENOG_HUMAN Gamma-enolase OS=Homo sapiens OX=9606 GN=ENO2 PE=1 SV=3,1463.291284,1064.645251,1339.476268,1519.687431,7118.666078,5120.729569,2850.535218,1489.37924,868.3341137,7328.450002,1384.277914,1792.841367,1601.388837,1760.656482,1321.308185,1316.676199,2215.652923,1172.580689,1336.241744,1342.644255,1051.083148,1414.344336,1107.211666,927.373535,1286.864882,582.6807411,1062.745715,958.0447056,1059.181961,1194.881479,3.165330786,3.027204921,3.126935024,3.181754272,3.852398622,3.709331841,3.454926411,3.173005296,2.938686863,3.865012129,3.14122329,3.253541864,3.204496797,3.24567463,3.121004125,3.119478985,3.34550173,3.069142738,3.125885035,3.127960958,3.021637073,3.150555156,3.044230653,2.967254698,3.109532949,2.765430664,3.026429363,2.981385775,3.024970576,3.07732483,0.009623381,25,0.063514313
